finding_id,finding_class,scope,severity,summary_zh,status,fix_or_disposition,evidence_refs,mutation_test_id,blocks_stage_pass,blocks_s02_entry
S01REV-RD-011,REVIEW_DEFECT,S01-P3,BLOCKER,P3 phase path 和 clean gate 强绑当前 HEAD immediate parent,FIXED_VALIDATED,冻结 pre-to-result 29 path 并要求 result commit 为 HEAD ancestor,KMFA/tools/check_v015_s01_p3_read_only_audit_gate.py;KMFA/tests/test_v015_s01_p3_read_only_audit_gate.py,test_frozen_phase_path_set_ignores_later_review_changes,false,false
S01REV-RD-012,REVIEW_DEFECT,S01-P3,HIGH,P3 dependency phase gate observed summary 和 stage status 存在空或额外键绕过,FIXED_VALIDATED,锁定 refs key sets required summary 与 latest status identity,KMFA/tools/check_v015_s01_p3_read_only_audit_gate.py;KMFA/tests/test_v015_s01_p3_read_only_audit_gate.py,test_rejects_minimal_latest_p3_stage_status,false,false
S01REV-RD-013,REVIEW_DEFECT,S01-P3,HIGH,P3 risk ID evidence task evidence 和 live remote 可伪造,FIXED_VALIDATED,锁定 24 risk IDs KMFA 证据 task evidence 和 locally verifiable remote,KMFA/tools/check_v015_s01_p3_read_only_audit_gate.py;KMFA/tests/test_v015_s01_p3_read_only_audit_gate.py,test_rejects_arbitrary_noncritical_risk_id,false,false
S01REV-RD-014,REVIEW_DEFECT,GOVERNANCE,BLOCKER,canonical project roadmap events 仍停留在旧版本和旧阶段,FIXED_VALIDATED,同步 project roadmap events 的 v1.5 S01 review 当前态并保留 0.1.4 installed baseline,KMFA/docs/governance/project.yaml;KMFA/docs/governance/roadmap.yaml;KMFA/docs/governance/events.jsonl,test_rejects_stale_canonical_project_roadmap_events,false,false
S01REV-RD-015,REVIEW_DEFECT,GOVERNANCE,HIGH,开发记录缺少 TaskPack v2.0 全量 v1.5 roadmap,FIXED_VALIDATED,从锁定 TaskPack 生成并校验 24 Stage 72 Phase 216 Task 的 tracked roadmap,KMFA/开发记录.md;KMFA/taskpack/v1_5/roadmap_v2_0.json;KMFA/taskpack/v1_5/source_manifest.json;KMFA/tools/v015_roadmap_governance_sync.py,test_rejects_incomplete_v15_roadmap,false,false
S01REV-RD-016,REVIEW_DEFECT,S01-P3,HIGH,P3 stale latest status 负测错误假设全局最后记录必为 P3,FIXED_VALIDATED,按 phase_id 定位最后一条 P3 status 后再注入漂移,KMFA/tests/test_v015_s01_p3_read_only_audit_gate.py;KMFA/metadata/stage_status.jsonl,test_rejects_stale_latest_p3_stage_status,false,false
S01REV-RD-017,REVIEW_DEFECT,STAGE-REVIEW,HIGH,review finding mutation test canonical events MODEL_SPEC 与 receipt test-results integrity 未完整绑定,FIXED_VALIDATED,校验 mutation test 真实唯一 canonical events 和 MODEL_SPEC counts 并强制全部非 self artifact integrity,KMFA/tools/check_v015_s01_stage_review.py;KMFA/tests/test_v015_s01_stage_review.py;KMFA/docs/governance/events.jsonl;KMFA/docs/governance/MODEL_SPEC.md;KMFA/stage_artifacts/V015_S01_STAGE_REVIEW/machine/stage1_review_manifest.json,test_rejects_unbound_mutation_test_id,false,false
S01REV-IB-001,INHERITED_ACCEPTANCE_BLOCKER,S01-P1,BLOCKER,真实运行对象缺失,OPEN_BLOCKING,提供可复现真实 runtime 后重跑或另行批准 TaskPack transition,KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/s01_p1_legacy_reference_baseline_manifest.json,,true,true
S01REV-IB-002,INHERITED_ACCEPTANCE_BLOCKER,S01-P1,BLOCKER,运行页面只是静态样板且已触发停止条件,OPEN_BLOCKING,提供真实路由与运行页面后重跑,KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/s01_p1_legacy_reference_baseline_manifest.json,,true,true
S01REV-IB-003,INHERITED_ACCEPTANCE_BLOCKER,S01-P1,HIGH,App 缺 tracked builder installer 导致完整基线不可重建,OPEN_BLOCKING,补充可复现 builder installer 或批准新的重建合同,KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/s01_p1_legacy_reference_baseline_manifest.json,,true,true
S01REV-IB-004,INHERITED_ACCEPTANCE_BLOCKER,S01-P3,BLOCKER,T03 出现 shared Git ref 变化且缺 raw 递归和持续进程前置证据,OPEN_BLOCKING,以 clean committed baseline 和完整 telemetry 重跑 T03,KMFA/stage_artifacts/V015_S01_P3_READ_ONLY_AUDIT_GATE/machine/s01_p3_read_only_audit_gate_manifest.json,,true,true
S01REV-IB-005,INHERITED_TRANSITION_BLOCKER,S01,HIGH,TaskPack Stage pass gate 与 FULL REBUILD 后续规划在 runtime missing 情况下无已落地迁移边,OPEN_BLOCKING,下一独立 Run 根据既有 FULL REBUILD 目标建立受控 transition amendment 且不伪造 Stage PASS,KMFA/stage_artifacts/V015_S01_STAGE_REVIEW/human/stage1_review_report_zh.md,,true,true
