bundle_item_id,source_rel_path,local_bundle_rel_path,domain,copied_size_bytes,failure_class,error_message,excluded_methods_not_attempted,schema_opened,message_or_contact_rows_selected
B00021,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_4.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_4.db,db_storage/message,99000320,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00024,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_4.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_4.db-last.material,db_storage/message,593920,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00025,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_4.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_4.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00026,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_3.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_3.db-last.material,db_storage/message,32768,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00027,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_1.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_1.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00028,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_0.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_0.db,db_storage/message,28815360,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00031,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_3.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_3.db,db_storage/message,2031616,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00034,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_2.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_2.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00035,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/media_0.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/media_0.db-last.material,db_storage/message,28672,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00036,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/weclaw.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/weclaw.db,db_storage/message,8192,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00039,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_1.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_1.db-last.material,db_storage/message,782336,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00040,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/media_0.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/media_0.db,db_storage/message,232751104,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00043,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_2.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_2.db,db_storage/message,24154112,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00046,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_3.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_3.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00047,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_2.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_2.db-last.material,db_storage/message,73728,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00048,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_0.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_0.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00049,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_2.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_2.db-first.material,db_storage/message,331776,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00050,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_2.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_2.db-first.material,db_storage/message,69632,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00051,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_2.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_2.db-last.material,db_storage/message,335872,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00052,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_1.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_1.db,db_storage/message,25165824,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00055,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_resource.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_resource.db,db_storage/message,1511424,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00058,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_0.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_0.db,db_storage/message,31723520,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00061,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_1.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_1.db-last.material,db_storage/message,86016,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00062,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_3.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_3.db-first.material,db_storage/message,577536,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00063,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_3.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_3.db-first.material,db_storage/message,32768,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00064,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/media_0.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/media_0.db-first.material,db_storage/message,28672,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00065,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_1.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_1.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00066,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_3.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_3.db-last.material,db_storage/message,577536,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00067,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_0.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_0.db-first.material,db_storage/message,253952,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00068,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_0.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_0.db-first.material,db_storage/message,110592,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00069,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_2.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_2.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00070,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/media_0.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/media_0.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00071,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_3.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_3.db,db_storage/message,107663360,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00074,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_1.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_1.db-first.material,db_storage/message,782336,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00075,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_2.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_2.db,db_storage/message,75390976,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00078,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_1.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_1.db-first.material,db_storage/message,86016,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00079,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_0.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_0.db-last.material,db_storage/message,110592,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00080,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_4.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_4.db-first.material,db_storage/message,593920,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00081,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_3.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/biz_message_3.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00082,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/favorite/favorite.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/favorite/favorite.db,db_storage/favorite,225280,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00085,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/favorite/favorite_fts.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/favorite/favorite_fts.db,db_storage/favorite,45056,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00088,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/session/session.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/session/session.db-incremental.material,db_storage/session,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00089,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/session/session.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/session/session.db-first.material,db_storage/session,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00090,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/session/session.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/session/session.db-last.material,db_storage/session,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00091,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/session/session.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/session/session.db,db_storage/session,2203648,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00094,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/contact/contact_fts.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/contact/contact_fts.db,db_storage/contact,3035136,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00097,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/contact/contact.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/contact/contact.db,db_storage/contact,9117696,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00100,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/general/general.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/general/general.db,db_storage/general,4194304,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00103,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_0.db-incremental.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_0.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00104,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_0.db-last.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_0.db-last.material,db_storage/message,20480,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00105,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_fts.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_fts.db,db_storage/message,327680,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00108,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_0.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_0.db,db_storage/message,552960,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00111,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/biz_message_0.db-incremental.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/biz_message_0.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00112,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_resource.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_resource.db,db_storage/message,98304,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00115,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/biz_message_0.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/biz_message_0.db,db_storage/message,479232,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00118,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_0.db-first.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/message_0.db-first.material,db_storage/message,20480,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00119,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/biz_message_0.db-first.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/biz_message_0.db-first.material,db_storage/message,20480,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00120,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/biz_message_0.db-last.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/message/biz_message_0.db-last.material,db_storage/message,16384,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00121,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/favorite/favorite.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/favorite/favorite.db,db_storage/favorite,909312,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00124,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/favorite/favorite_fts.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/favorite/favorite_fts.db,db_storage/favorite,155648,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00127,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/session/session.db-incremental.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/session/session.db-incremental.material,db_storage/session,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00128,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/session/session.db-first.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/session/session.db-first.material,db_storage/session,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00129,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/session/session.db-last.material,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/session/session.db-last.material,db_storage/session,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00130,xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/session/session.db,files/xwechat_files/wxid_1eryssl2o0jk12_f329/db_storage/session/session.db,db_storage/session,81920,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00133,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/contact/contact_fts.db,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/contact/contact_fts.db,db_storage/contact,176128,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00136,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/contact/contact.db,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/contact/contact.db,db_storage/contact,159744,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00139,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/contact/contact.db-first.material,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/contact/contact.db-first.material,db_storage/contact,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00140,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/contact/contact.db-incremental.material,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/contact/contact.db-incremental.material,db_storage/contact,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00141,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/general/general.db,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/general/general.db,db_storage/general,180224,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00144,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/message_fts.db,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/message_fts.db,db_storage/message,159744,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00147,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/message_0.db,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/message_0.db,db_storage/message,278528,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00150,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/biz_message_0.db-incremental.material,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/biz_message_0.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00151,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/message_resource.db,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/message_resource.db,db_storage/message,114688,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00154,xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/biz_message_0.db,files/xwechat_files/wxid_hhh910arp3m212_02c5/db_storage/message/biz_message_0.db,db_storage/message,45056,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
