priority_rank,priority_score,action_bucket,evidence_gap,status,symbol,market,research_topic,signal_to_validate,needed_input,verification_method,risk_if_skipped,blockers,task_id,source_report
11,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata14_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_237cd29b5b22e6eed252,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
12,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata4_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_7f9ba339fb12527227c5,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
13,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata3_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_654fad4cc52bed473754,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
14,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata13_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_0f9dd136fc4c4bbc2c86,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
15,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata12_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_aece318bd5609bdbf268,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
16,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata11_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_bf9bfa83deb65175b103,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
17,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata10_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_c0cad6a96f2a53ab0443,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
18,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata9_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_9560fac6f7b3c7807c08,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
19,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata8_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_186573b0f1329e452cd3,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
20,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata7_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_a6523e16ccfa91ae0e46,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
21,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata6_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_2eb5bea47b4fceace46f,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
22,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata5_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_89eda18bcd481f67323e,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
23,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_072231 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_849266791b18649d1524,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
24,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_072157 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_e7bc1bbcb50a5a7a377d,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
25,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_071220 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_137c8cd1a39c53832d96,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
26,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_071130 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_98f31098ffb86dbede79,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
27,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_071032 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_ae4188ec1d1a1ed53dee,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
28,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_071015 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_c1be2f7ae821edeb646c,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
29,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_070852 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_ed6e1cfdde70e689140f,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
30,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_070709 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_24cabe0e62520fd1ef52,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
31,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata_20260603_070708 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_bb108dd8e607357c3437,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
32,86,BatchValidate,WalkForwardValidation,待验证,AAPL,US,补齐报告证据：RunMetadata_07062026 / WalkForwardValidation,补跑 walk-forward 验证，检查规律是否跨时间窗口稳定。,"historical bars, strategy version, parameters, window definition",Run rolling windows and compare window stability.,The result may be time-window overfit.,,reportGapTask_a5d66fdd1799fae49691,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx
33,85,BatchValidate,TrainTestValidation,待验证,AAPL,US,补齐报告证据：RunMetadata_07062026 / TrainTestValidation,补跑样本内/样本外验证，确认训练和测试表现是否一致。,"historical bars, train/test split, costs, benchmark",Run in-sample/out-of-sample split and compare degradation.,The result may only work in the fitting sample.,,reportGapTask_0c691618d33ec8d0db0a,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx
34,83,BatchValidate,ParameterStability,待验证,AAPL,US,补齐报告证据：RunMetadata_07062026 / ParameterStability,补跑参数稳定性扫描，检查结论是否依赖单一参数。,"strategy parameters, scan ranges, benchmark, costs",Run parameter grid and check whether conclusions rely on one setting.,The result may depend on one fragile parameter.,,reportGapTask_4fd24767b189af18a488,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx
35,82,ManualReview,DecisionQuality,待验证,AAPL,US,补齐报告证据：RunMetadata_07062026 / DecisionQuality,补齐 Decision Quality，包括 Thesis、证据、风险、反方观点和退出条件。,"thesis, evidence, risks, opposing view, exit/degrade conditions",Complete Decision Quality checklist and record missing evidence.,"The research conclusion may omit thesis, risks, or disconfirming evidence.",,reportGapTask_ea31ffc51bd85726422d,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx
36,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata3_04062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_87c69d1fe70d54366d65,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx
37,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata18_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_41489eda40de630a3e0c,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
38,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata17_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_29e3f2396a203d88c2e1,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
39,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata16_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_3e8dbcfcfa454bf79d54,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
40,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata15_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_ae5c2190a77e9783ca89,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
41,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata14_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_4416444444d27a6ec957,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
42,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata4_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_b989ee57852d50eeb089,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
43,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata3_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_0eb7ded71e1b5a09bb23,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
44,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata13_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_cc21969e2c9745c12389,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
45,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata12_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_498687f76c9b7e4fcfa7,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
46,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata11_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_1349213155facadf7250,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
47,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata10_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_5ffdf7e7561460e55fc8,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
48,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata9_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_8d91cfb4c88ebb5e45d0,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
49,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata8_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_d1c766a496b389fe122f,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
50,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata7_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_b0c509076756ec3e9c67,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
51,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata6_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_0deb2e2f37503841428e,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
52,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata5_03062026 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_23f77c7f6b6b8156557e,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
53,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_072231 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_50ca87e5442e6fdfcf16,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
54,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_072157 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_3a6da31948f7fe387251,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
55,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_071220 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_b12e590751ed3a6afde6,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
56,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_071130 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_a597154c68c0155fe89e,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
57,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_071032 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_ac22a12350f072d56d0c,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
58,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_071015 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_b2f09c9c5cf5c21466c5,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
