risk_id,unknown_category,priority,unknown_description,owner_role,resolution_stages,stop_condition,related_requirement_ids,related_capability_ids,evidence_refs,status
RISK-P3-ACC-002,ACCESS,P0,确认、失效、重算、导出及管理动作的授权边界未知,APPLICATION_SECURITY_OWNER,S08;S15;S20,任一未授权路径可修改产品状态或触达 raw 时立即停止,R024;R025;R042,CAP-015;CAP-022,KMFA/stage_artifacts/S12_P1_manual_resolution_events;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-ACC-003,ACCESS,P0,actor、correlation、before/after、授权依据的追加式审计持久化未实现,AUDIT_GOVERNANCE_OWNER,S20;S22,任一状态变更不能形成不可覆盖审计事件时，不得进入发布候选,R010;R047,CAP-007;CAP-015,KMFA/docs/governance/IMMUTABILITY_POLICY.md;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/migration_decision_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-ACC-004,ACCESS,P1,通知收件人、最小披露正文、邮件 connector 和失败升级未验证,NOTIFICATION_SECURITY_OWNER,S22,allowlist、脱敏、失败升级和负向测试未通过前，不得真实发送,R046,CAP-023,KMFA/metadata/notifications/notification_manifest.json;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-RUN-001,RUNTIME_DEPENDENCY,P0,无可构建 App、API、数据库绑定及真实持久化,APPLICATION_ARCHITECT,S02;S15;S20,运行对象或持久化边界未明确时，不得实现业务流；静态页面不得替代运行时,R001;R025;R042,CAP-032,KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/human/legacy_reference_baseline_report_zh.md;KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/acceptance_matrix_public_safe.json;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-RUN-002,RUNTIME_DEPENDENCY,P0,.codex_private_runtime 只有证据/缓存语义，产品状态库、备份、迁移和一致性未知,DATA_PLATFORM_OWNER,S03;S04,产品存储、事务、备份和迁移合同未确定前，不得写入正式业务状态,R006,CAP-024,KMFA/docs/governance/RAW_DATA_BOUNDARY.md;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/migration_decision_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-RUN-003,RUNTIME_DEPENDENCY,P0,失效、重算、缓存刷新、版本切换、撤销和恢复链路不存在,WORKFLOW_RUNTIME_OWNER,S20,无幂等持久化及刷新后状态证明时，不得以点击或 DOM 变化验收,R009;R025;R043,CAP-015;CAP-016,KMFA/stage_artifacts/S12_P3_manual_rerun_mechanism;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-RUN-004,RUNTIME_DEPENDENCY,P1,报告 renderer、周期调度及 HTML/PDF/CSV/Excel 同版本输出未实现,REPORTING_PLATFORM_OWNER,S21,所有格式未绑定同一事实版本且未逐值一致前，不得发布报告,R034;R035;R036,CAP-021;CAP-034,KMFA/stage_artifacts/S10_P3_report_export;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-RUN-005,RUNTIME_DEPENDENCY,P0,v1.5 并发、故障、浸泡、恢复、可访问性和静默错误测试环境缺失,QUALITY_RELIABILITY_OWNER,S23,目标测试矩阵未完成或存在任一静默错误时，不得进入发布,R044;R045,CAP-018;CAP-036,KMFA/metadata/quality/full_regression_acceptance_manifest.json;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-RUN-006,RUNTIME_DEPENDENCY,P1,现有 App 无 tracked builder，且 GitHub main 已外部移动；替换前备份、合并和最终 parity 路径待重验,RELEASE_OWNER,S24,未保全 v0.1.4 私有恢复副本、未重新获取并安全合并最新 main、无 tracked build/install 及 parity 证据时，不得上传或替换 App,R001;R054;R055,CAP-012;CAP-025;CAP-032,KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/s01_p1_legacy_reference_baseline_manifest.json;KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/acceptance_matrix_public_safe.json;KMFA/stage_artifacts/V015_S01_P3_READ_ONLY_AUDIT_GATE/machine/side_effect_snapshot_public_safe.json,OPEN_WITH_PLAN
RISK-P3-UI-001,UI_BREAKPOINT,P0,旧静态 launcher、IA、机械卡片和技术术语不是 v1.5 基线,UX_UI_ARCHITECT,S14,新 IA、设计系统和用户语言未锁定前，不得继承旧页面验收状态；按钮能点不构成证据,R038;R039;R040;R041,CAP-025;CAP-026;CAP-027;CAP-028,KMFA/stage_artifacts/S11_P1_home_navigation;KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/human/legacy_reference_baseline_report_zh.md,OPEN_WITH_PLAN
RISK-P3-UI-002,UI_BREAKPOINT,P0,数据源检查板未接真实状态，且与经营报告分离未验证,DATA_QUALITY_PRODUCT_OWNER,S11,质量门禁不完整或检查状态混入经营结论时，不得开放报告入口,R019;R020;R021;R037,CAP-009;CAP-026,KMFA/stage_artifacts/S11_P2_source_check_board;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-UI-003,UI_BREAKPOINT,P0,七个一级入口、真实路由、角色和多主体上下文未实现,APPLICATION_SHELL_OWNER,S15,路由、鉴权和主体上下文未由实际运行页面证明时，不得验收导航,R040;R047,CAP-022;CAP-026,KMFA/stage_artifacts/S11_P1_home_navigation;KMFA/stage_artifacts/S17_P1_access_security,OPEN_WITH_PLAN
RISK-P3-UI-004,UI_BREAKPOINT,P0,导入、确认、重算、刷新、失败、撤销和恢复没有真实 UI→API→DB 闭环,WORKFLOW_PRODUCT_OWNER,S20,无持久化、刷新后状态、失败反馈及恢复证据时，不得验收真实操作流程,R042;R043,CAP-027,KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/acceptance_matrix_public_safe.json;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-UI-005,UI_BREAKPOINT,P1,管理首页、项目、回款、资金、税务和人类可读报告尚未由真实数据驱动,FINANCE_PRODUCT_DESIGN_OWNER,S02;S06;S12;S13;S16;S17;S18;S19;S21,字段、事实版本和用户语言未闭环时，不得将领域页面标记完成,R003;R004;R027;R028;R029;R030;R031;R032;R033;R034;R035;R051,CAP-020;CAP-021;CAP-026,KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv;KMFA/stage_artifacts/S13_P1_financial_operating_report,OPEN_WITH_PLAN
