asset_code,asset_name,asset_type,market,fund_company,risk_level,theme,is_off_platform_fund,is_excluded,exclusion_reason,official_source_count,fallback_aggregated,evidence_level,source_name,source_type,source_url,missing_nav_days,missing_holding_days,conflict_flag,as_of
501225,景顺长城全球半导体芯片股票A(QDII-LOF)(人民币),off_platform_qdii_fund,CN/US,,high,半导体、芯片、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
000157,富国全球科技互联网股票(QDII)A(后端),off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
013172,华夏恒生互联网科技业ETF联接(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017091,景顺长城纳斯达克科技ETF联接(QDII)A人民币,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017092,景顺长城纳斯达克科技ETF联接(QDII)A美元现汇,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017093,景顺长城纳斯达克科技ETF联接(QDII)C人民币,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017894,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币A,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017895,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币C,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017951,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现汇,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017952,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现钞,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
018475,万家恒生互联网科技业ETF发起式联接(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
018476,万家恒生互联网科技业ETF发起式联接(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
019936,华安恒生互联网科技业ETF发起式联接(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
019937,华安恒生互联网科技业ETF发起式联接(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
022184,富国全球科技互联网股票(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
023764,华夏恒生互联网科技业ETF发起式联接(QDII)D,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
026228,富国全球科技互联网股票(QDII)D,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
100055,富国全球科技互联网股票(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
012570,建信恒生科技指数发起(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、QDII、恒生科技,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
012571,建信恒生科技指数发起(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、QDII、恒生科技,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
